model,AUC_mean,AUC_std,AUPRC_mean,AUPRC_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,PPV_mean,PPV_std,NPV_mean,NPV_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std
LogisticRegression,0.9349673202614379,0.014794932869049943,0.9175859429050865,0.04479093853255483,0.9222222222222222,0.06334307917217433,0.7954248366013073,0.06351986264606185,0.8243493761140819,0.04448976583967775,0.9141353383458647,0.062030859973263984,0.8688239830345094,0.03223696912900351,0.8596825396825398,0.03408727848919147
RandomForest,0.9473493100944083,0.021723993506588685,0.942418748359106,0.031909998028207175,0.9555555555555555,0.07243558228002941,0.7627450980392156,0.0961861918472285,0.8077122153209111,0.06334344337602171,0.95,0.07453559924999298,0.8734119538997588,0.051581753813375174,0.8601587301587301,0.057806987209326144
XGBoost,0.9403050108932461,0.017074967944592328,0.9193184461463169,0.04221453031791185,0.9333333333333332,0.060858061945018485,0.8405228758169935,0.049851331799225136,0.8582562466772993,0.03467191971486915,0.9307189542483659,0.06330091509962486,0.8931974079342501,0.033929350314315786,0.887936507936508,0.033396576436998275
